# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.64481884    0.00261923    0.61927222    0.00000002   11.44742861   -0.49999996   -0.49999914   -0.00213093
    0.64481991    0.21806206    0.61926841    0.00000002   11.99882145   -0.49999688    0.49999997   -0.17740948
   -0.64481992   -0.10423349    0.61927213    0.00000002   11.59720070   -0.49999989   -0.49999998    0.08480159
   -0.64481991   -0.19596330    0.61927205    0.00000002   11.91435517   -0.49999982   -0.49999997    0.15943052
    0.64481960    0.00950025    0.61927221    0.00000002   11.44863112   -0.49999995    0.49999973   -0.00772915
   -0.60510858    0.00000001   -0.61927224    0.00000003   11.44634782    0.49999998   -0.46920740   -0.00000001
   -0.64481990    0.10590765    0.61927216    0.00000003   11.60182412   -0.49999991   -0.49999997   -0.08616364
   -0.00000004   -0.07774337   -0.11945952    0.00000003   10.72552985    0.09645153   -0.00000003    0.06324994
   -0.00000003   -0.05032839   -0.11777311    0.00000004   10.69293888    0.09508993   -0.00000002    0.04094584
   -0.00000002   -0.05997127   -0.10993052    0.00000003   10.69388963    0.08875783   -0.00000002    0.04879103
   -0.00000009   -0.09580341   -0.14442019    0.00000006   10.78095520    0.11660476   -0.00000007    0.07794310
   -0.00000006   -0.08767136   -0.13245597    0.00000005   10.75422014    0.10694485   -0.00000005    0.07132708
    0.00000006   -0.15710535   -0.24711390    0.00000022   11.04157971    0.19951959    0.00000004    0.12781672
    0.00000005   -0.15825699   -0.24905965    0.00000023   11.04707154    0.20109059    0.00000004    0.12875367
    0.00000001   -0.20225695   -0.31882222    0.00000002   11.25958261    0.25741684    0.00000001    0.16455086
    0.00000000   -0.20655043   -0.32503595    0.00000002   11.28014900    0.26243380    0.00000000    0.16804392
    0.00000003   -0.21473829   -0.33654817    0.00000003   11.31907310    0.27172876    0.00000002    0.17470535
   -0.00000036   -0.13277888   -0.20540528    0.00000003   10.92892427    0.16584408   -0.00000028    0.10802536
    0.00000005   -0.00083621   -0.14410701    0.00000003   10.70293618    0.11635190    0.00000004    0.00068032
   -0.00000005   -0.01219646   -0.14267340    0.00000003   10.70233032    0.11519440   -0.00000004    0.00992272
    0.64481988    0.04312417    0.61927215    0.00000002   11.47395611   -0.49999990    0.49999994   -0.03508468
   -0.64481994    0.26018329    0.61927206    0.00000003   12.14534853   -0.49999983   -0.50000000   -0.21167819
    0.64481993    0.20553902   -0.61926855    0.00000003   11.95117170    0.49999699    0.49999998   -0.16722107
    0.64481993    0.16137761   -0.60001272    0.00000001   11.78183143    0.48444985    0.49999999   -0.13129252
    0.34099200   -0.00000008   -0.61927225    0.00000003   11.44623755    0.49999999    0.26440869    0.00000006
    0.64481992   -0.07723769    0.61927215    0.00000003   11.53132097   -0.49999990    0.49999998    0.06283853
    0.64481991    0.20679778   -0.59318910    0.00000002   11.95230980    0.47894047    0.49999997   -0.16824516
    0.35107330    0.18343643   -0.61927226    0.00000001   11.77296594    0.49999999    0.27222583   -0.14923899
