# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.39500000       0.81734126       0.14245772       0.18812148       0.86300250
      0.39625000       0.81464383       0.14462186       0.19082618       0.86084569
      0.39750000       0.81191538       0.14681718       0.19356183       0.85865761
      0.39875000       0.80915557       0.14904411       0.19632874       0.85643784
      0.40000000       0.80636408       0.15130307       0.19912725       0.85418595
      0.40125000       0.80354060       0.15359450       0.20195768       0.85190150
      0.40250000       0.80068476       0.15591882       0.20482036       0.84958408
      0.40375000       0.79779625       0.15827649       0.20771564       0.84723323
      0.40500000       0.79487470       0.16066794       0.21064387       0.84484851
      0.40625000       0.79191977       0.16309363       0.21360541       0.84242947
      0.40750000       0.78893109       0.16555400       0.21660060       0.83997566
      0.40875000       0.78590830       0.16804952       0.21962981       0.83748661
      0.41000000       0.78285105       0.17058065       0.22269341       0.83496188
      0.41125000       0.77975895       0.17314785       0.22579176       0.83240098
      0.41250000       0.77663164       0.17575159       0.22892525       0.82980346
      0.41375000       0.77346874       0.17839233       0.23209423       0.82716885
      0.41500000       0.77026988       0.18107056       0.23529910       0.82449667
      0.41625000       0.76703467       0.18378674       0.23854022       0.82178645
      0.41750000       0.76376275       0.18654136       0.24181797       0.81903771
      0.41875000       0.76045373       0.18933487       0.24513274       0.81624999
      0.42000000       0.75710723       0.19216777       0.24848489       0.81342279
      0.42125000       0.75372290       0.19504051       0.25187479       0.81055567
      0.42250000       0.75030035       0.19795358       0.25530283       0.80764813
      0.42375000       0.74683922       0.20090745       0.25876935       0.80469971
      0.42500000       0.74333916       0.20390257       0.26227473       0.80170994
      0.42625000       0.73979981       0.20693942       0.26581931       0.79867836
      0.42750000       0.73622082       0.21001844       0.26940343       0.79560452
      0.42875000       0.73260187       0.21314009       0.27302744       0.79248797
      0.43000000       0.72894262       0.21630482       0.27669166       0.78932825
      0.43125000       0.72524276       0.21951305       0.28039639       0.78612494
      0.43250000       0.72150200       0.22276522       0.28414195       0.78287761
      0.43375000       0.71772005       0.22606173       0.28792860       0.77958585
      0.43500000       0.71389664       0.22940300       0.29175663       0.77624925
      0.43625000       0.71003153       0.23278940       0.29562627       0.77286742
      0.43750000       0.70612449       0.23622131       0.29953776       0.76944000
      0.43875000       0.70217530       0.23969909       0.30349131       0.76596662
      0.44000000       0.69818380       0.24322307       0.30748708       0.76244695
      0.44125000       0.69414981       0.24679358       0.31152525       0.75888067
      0.44250000       0.69007322       0.25041091       0.31560595       0.75526748
      0.44375000       0.68595391       0.25407533       0.31972926       0.75160710
      0.44500000       0.68179183       0.25778709       0.32389526       0.74789930
      0.44625000       0.67758695       0.26154641       0.32810398       0.74414385
      0.44750000       0.67333925       0.26535349       0.33235542       0.74034056
      0.44875000       0.66904879       0.26920848       0.33664953       0.73648927
