# Chirality               1              -1              -1               1               1              -1              -1               1
# k            phase           phase           phase           phase           phase           phase           phase           phase
      0.40250000       0.04592194       0.96074190       0.95968478       0.04484402       0.04587895       0.96068324       0.95962971       0.04480114
      0.40500000       0.04841409       0.95825835       0.95720584       0.04734093       0.04837157       0.95819977       0.95715097       0.04729855
      0.40750000       0.05111055       0.95556466       0.95452220       0.05004762       0.05106855       0.95550618       0.95446756       0.05000577
      0.41000000       0.05403362       0.95263744       0.95161159       0.05298746       0.05399216       0.95257909       0.95155721       0.05294618
      0.41250000       0.05720850       0.94945021       0.94844877       0.05618695       0.05716763       0.94939200       0.94839469       0.05614628
      0.41500000       0.06066377       0.94597288       0.94500519       0.05967614       0.06062354       0.94591485       0.94495142       0.05963612
      0.41750000       0.06443183       0.94217136       0.94124843       0.06348914       0.06439229       0.94211353       0.94119502       0.06344981
      0.42000000       0.06854943       0.93800694       0.93714174       0.06766466       0.06851062       0.93794933       0.93708872       0.06762607
      0.42250000       0.07305824       0.93343577       0.93264346       0.07224653       0.07302023       0.93337841       0.93259086       0.07220873
      0.42500000       0.07800549       0.92840826       0.92770636       0.07728433       0.07796832       0.92835118       0.92765422       0.07724736
      0.42750000       0.08344452       0.92286860       0.92227709       0.08283387       0.08340826       0.92281183       0.92222545       0.08279780
      0.43000000       0.08943538       0.91675431       0.91629561       0.08895764       0.08940010       0.91669786       0.91624450       0.08892251
      0.43250000       0.09604526       0.90999610       0.90969474       0.09572490       0.09601101       0.90994001       0.90964420       0.09569077
      0.43500000       0.10334858       0.90251814       0.90240008       0.10321147       0.10331543       0.90246243       0.90235013       0.10317839
      0.43750000       0.11142665       0.89423902       0.89433031       0.11149875       0.11139468       0.89418371       0.89428099       0.11146679
      0.44000000       0.12036651       0.88507377       0.88539842       0.12067172       0.12033578       0.88501886       0.88534973       0.12064092
      0.44250000       0.13025852       0.87493727       0.87551406       0.13081546       0.13022910       0.87488277       0.87546603       0.13078588
      0.44500000       0.14119220       0.86374970       0.86458775       0.14200980       0.14116416       0.86369562       0.86454036       0.14198148
      0.44750000       0.15324974       0.85144419       0.85253731       0.15432160       0.15322314       0.85139050       0.85249054       0.15429458
      0.45000000       0.16649679       0.83797676       0.83929712       0.16779483       0.16647168       0.83792344       0.83925094       0.16776916
      0.45250000       0.18097040       0.82333802       0.82483017       0.18243889       0.18094682       0.82328504       0.82478452       0.18241459
      0.45500000       0.19666515       0.80756484       0.80914186       0.19821693       0.19664313       0.80751217       0.80909668       0.19819403
      0.45750000       0.21351963       0.79074943       0.79229361       0.21503675       0.21349919       0.79069705       0.79224882       0.21501526
      0.46000000       0.23140693       0.77304244       0.77441229       0.23274774       0.23138809       0.77299034       0.77436784       0.23272771
      0.46250000       0.25013357       0.75464713       0.75569130       0.25114667       0.25011635       0.75459535       0.75564715       0.25112811
      0.46500000       0.26945029       0.73580399       0.73637982       0.26999309       0.26943471       0.73575259       0.73633598       0.26997603
      0.46750000       0.28907466       0.71676779       0.71676017       0.28903225       0.28906079       0.71671688       0.71671669       0.28901676
      0.47000000       0.30872147       0.69778215       0.69711749       0.30802055       0.30870936       0.69773186       0.69707447       0.30800670
      0.47250000       0.32813326       0.67905736       0.67770914       0.32674771       0.32812301       0.67900787       0.67766675       0.32673557
      0.47500000       0.34710387       0.66075567       0.65874125       0.34505145       0.34709559       0.66070717       0.65869967       0.34504112
      0.47750000       0.36549054       0.64298552       0.64035658       0.36282332       0.36548434       0.64293823       0.64031603       0.36281489
      0.48000000       0.38321474       0.62580347       0.62263367       0.38000676       0.38321075       0.62575758       0.62259435       0.38000032
      0.48250000       0.40025478       0.60922105       0.60559425       0.39659021       0.40025312       0.60917677       0.60555636       0.39658584
      0.48500000       0.41663424       0.59321388       0.58921478       0.41259804       0.41663500       0.59317139       0.58917850       0.41259581
      0.48750000       0.43240971       0.57773074       0.57343872       0.42808144       0.43241299       0.57769022       0.57340423       0.42808143
      0.49000000       0.44765997       0.56270147       0.55818733       0.44311057       0.44766584       0.56266308       0.55815477       0.44311283
      0.49250000       0.46247749       0.54804308       0.54336819       0.45776841       0.46248600       0.54800697       0.54333769       0.45777299
      0.49500000       0.47696234       0.53366420       0.52888127       0.47214633       0.47697352       0.53363051       0.52885293       0.47215325
      0.49750000       0.49121813       0.51946805       0.51462299       0.48634112       0.49123198       0.51943689       0.51459691       0.48635041
      0.50000000       0.50534951       0.50535429       0.50048871       0.50045312       0.50536603       0.50532576       0.50046496       0.50046478
      0.50250000       0.51946065       0.49122023       0.48637429       0.51458502       0.51947981       0.49119442       0.48635294       0.51459905
      0.50500000       0.53365424       0.47696173       0.47217706       0.52884098       0.53367600       0.47693871       0.47215816       0.52885737
      0.50750000       0.54803063       0.46247415       0.45779667       0.54332563       0.54805494       0.46245399       0.45778026       0.54334437
      0.51000000       0.56268661       0.44765391       0.44313634       0.55814260       0.56271339       0.44763666       0.44312246       0.55816366
      0.51250000       0.57771354       0.43240096       0.42810468       0.57339193       0.57774274       0.43238668       0.42809336       0.57341529
      0.51500000       0.59319441       0.41662286       0.41261872       0.58916607       0.59322595       0.41661160       0.41261000       0.58919171
      0.51750000       0.60919937       0.40024087       0.39660828       0.60554381       0.60923316       0.40023267       0.39660218       0.60557169
      0.52000000       0.62577961       0.38319844       0.38002214       0.62258171       0.62581558       0.38319336       0.38001870       0.62261182
      0.52250000       0.64295950       0.36547202       0.36283592       0.64030336       0.64299756       0.36547010       0.36283517       0.64033565
      0.52500000       0.66072747       0.34708333       0.34506115       0.65868707       0.66076755       0.34708462       0.34506313       0.65872150
      0.52750000       0.67902698       0.32811092       0.32675439       0.67765430       0.67906899       0.32811547       0.32675911       0.67769083
      0.53000000       0.69774955       0.30869757       0.30802407       0.69706233       0.69779341       0.30870537       0.30803157       0.69710088
      0.53250000       0.71673294       0.28904944       0.28903249       0.71670499       0.71677855       0.28906048       0.28904275       0.71674547
      0.53500000       0.73576687       0.26942396       0.26998996       0.73632486       0.73581412       0.26943815       0.27000295       0.73636716
      0.53750000       0.75460775       0.25010630       0.25114015       0.75563675       0.75465652       0.25012352       0.25115579       0.75568073
      0.54000000       0.77300085       0.23137884       0.23273785       0.77435824       0.77305101       0.23139890       0.23275604       0.77440376
      0.54250000       0.79070574       0.21349080       0.21502357       0.79224008       0.79075715       0.21351349       0.21504418       0.79228697
      0.54500000       0.80751916       0.19663560       0.19820064       0.80908881       0.80757169       0.19666068       0.19822349       0.80913691
      0.54750000       0.82329052       0.18094013       0.18241969       0.82477749       0.82334403       0.18096737       0.18244462       0.82482666
      0.55000000       0.83792761       0.16646578       0.16777295       0.83924471       0.83798199       0.16649494       0.16779978       0.83929481
      0.55250000       0.85139357       0.15321796       0.15429729       0.85248504       0.85144870       0.15324884       0.15432583       0.85253596
      0.55500000       0.86369780       0.14115962       0.14198329       0.86453551       0.86375358       0.14119203       0.14201340       0.86458716
      0.55750000       0.87488424       0.13022514       0.13078698       0.87546176       0.87494058       0.13025892       0.13081851       0.87551405
      0.56000000       0.88501976       0.12033232       0.12064146       0.88534598       0.88507660       0.12036733       0.12067429       0.88539883
      0.56250000       0.89418417       0.11139165       0.11146691       0.89427768       0.89424144       0.11142776       0.11150092       0.89433104
      0.56500000       0.90246256       0.10331278       0.10317819       0.90234721       0.90252021       0.10334990       0.10321329       0.90240103
      0.56750000       0.90993990       0.09600868       0.09569033       0.90964161       0.90999787       0.09604672       0.09572642       0.90969584
      0.57000000       0.91669757       0.08939805       0.08892189       0.91624220       0.91675583       0.08943693       0.08895892       0.91629680
      0.57250000       0.92281140       0.08340645       0.08279707       0.92222340       0.92286990       0.08344610       0.08283495       0.92227834
      0.57500000       0.92835067       0.07796672       0.07724655       0.92765239       0.92840938       0.07800708       0.07728522       0.92770763
      0.57750000       0.93337783       0.07301881       0.07220786       0.93258922       0.93343673       0.07305983       0.07224728       0.93264473
      0.58000000       0.93794872       0.06850936       0.06762517       0.93708724       0.93800777       0.06855099       0.06766528       0.93714300
      0.58250000       0.94211289       0.06439116       0.06344891       0.94119368       0.94217208       0.06443335       0.06348966       0.94124966
      0.58500000       0.94591421       0.06062254       0.05963521       0.94495021       0.94597351       0.06066525       0.05967657       0.94500639
      0.58750000       0.94939137       0.05716673       0.05614538       0.94839359       0.94945075       0.05720993       0.05618730       0.94844994
      0.59000000       0.95257847       0.05399135       0.05294531       0.95155621       0.95263791       0.05403499       0.05298775       0.95161271
      0.59250000       0.95550557       0.05106782       0.05000492       0.95446665       0.95556507       0.05111188       0.05004786       0.95452328
      0.59500000       0.95819918       0.04837091       0.04729773       0.95715013       0.95825871       0.04841536       0.04734112       0.95720687
      0.59750000       0.96068267       0.04587835       0.04480034       0.95962894       0.96074221       0.04592315       0.04484416       0.95968578
      0.60000000       0.96297669       0.04357041       0.04249211       0.96192281       0.96303623       0.04361554       0.04253633       0.96197972
